# z, m_eff, m_err
2.285284738810000049e-01 2.093343363859999684e+01 1.256454325926212034e-01
1.552473282210000138e-01 1.999632040589999704e+01 1.192509819745283250e-01
1.446210859719999908e-01 1.996982977299999718e+01 1.166506838800900475e-01
1.739100565660000042e-01 2.021094110529999810e+01 1.324110539141959142e-01
1.163485025989999949e-01 1.942513816509999813e+01 1.162343233455490066e-01
2.185851890409999942e-01 2.087809745670000083e+01 1.208953163187957841e-01
1.196715380060000000e-01 1.943453811779999896e+01 1.147316654165686373e-01
1.546320972390000104e-01 2.000295022949999790e+01 1.159940447935482316e-01
1.776006949770000121e-01 2.074967585099999567e+01 1.283688953596348048e-01
1.287267354670000030e-01 1.954322530680000014e+01 1.135481029971239092e-01
1.706283967489999887e-01 2.015390011599999909e+01 1.201811919916579291e-01
1.858124467099999955e-01 2.050309758439999896e+01 1.243410941543198478e-01
1.888531753869999996e-01 2.047103748620000019e+01 1.234427525503173501e-01
1.242735287719999998e-01 1.939898690099999712e+01 1.151128005800763909e-01
1.825489133969999955e-01 2.046302156340000167e+01 1.179616977744405160e-01
2.006117199280000041e-01 2.053139182189999801e+01 1.362121012184696889e-01
2.116295984930000040e-01 2.065910475089999565e+01 1.190762229599961197e-01
1.796856407699999880e-01 2.039995994509999733e+01 1.207702870271991080e-01
1.086382655239999939e-01 1.932950019789999985e+01 1.231981234347544057e-01
2.026086798969999880e-01 2.064675925539999568e+01 1.322547864996221068e-01
1.967160685790000085e-01 2.060341737869999790e+01 1.382767216680423905e-01
1.266879890900000083e-01 1.959420843219999497e+01 1.275164943522443251e-01
2.145682586579999995e-01 2.088084966589999780e+01 1.207727720561569268e-01
2.183474454029999956e-01 2.089984983769999971e+01 1.279871493435313090e-01
1.897065669509999941e-01 2.061856251089999503e+01 1.233854560137862544e-01
2.109383950610000114e-01 2.066293773399999978e+01 1.244876512901490900e-01
1.835684048769999910e-01 2.038979580330000019e+01 1.273594618036757720e-01
2.125487650940000028e-01 2.076659327730000015e+01 1.349536851749670585e-01
1.147126208700000038e-01 1.934809511599999965e+01 1.172743998201922072e-01
1.437059069999999938e-01 1.986477065440000089e+01 1.201185822204640513e-01
2.165828219539999988e-01 2.103927170309999539e+01 1.554030285452430438e-01
2.399999999999999911e-01 2.142119158150000047e+01 4.039596726701604745e-01
1.799999999999999933e-01 2.086851731610000016e+01 4.464566378522775159e-01
1.719999999999999862e-01 1.998122600630000179e+01 4.307550677089069247e-01
1.779999999999999916e-01 2.013379082100000161e+01 2.376472158313874539e-01
1.859999999999999987e-01 2.039116792540000134e+01 1.914087474153188528e-01
2.149999999999999967e-01 2.105705767319999566e+01 1.962406570766892788e-01
2.485999999999999877e-01 2.129018534289999920e+01 1.574013356631363270e-01
2.049999999999999878e-01 2.058276943470000120e+01 2.193333618689802811e-01
1.590000000000000024e-01 2.009536409529999545e+01 2.444756637680322031e-01
2.389999999999999902e-01 2.093812877990000132e+01 2.063602275337370895e-01
2.179999999999999993e-01 2.075440742119999626e+01 2.242385899116157710e-01
2.129999999999999949e-01 2.078804120299999525e+01 2.253583564418724927e-01
1.809999999999999942e-01 2.036188851719999704e+01 2.290615492646176365e-01
2.159999999999999976e-01 2.108390894329999909e+01 2.172926782007465751e-01
2.159999999999999976e-01 2.123504659849999499e+01 2.459364592161772389e-01
2.984092736300000270e-01 2.174140023360000029e+01 2.178937047789143988e-01
2.564757427250000110e-01 2.128984390029999574e+01 1.591395118974745782e-01
2.955855500630000243e-01 2.181605970179999687e+01 2.171471873709023837e-01
3.803594873360000017e-01 2.233649865899999654e+01 2.199659020221561845e-01
2.734547688839999990e-01 2.140615824410000201e+01 1.663950207040701679e-01
2.975188335610000068e-01 2.145120501359999921e+01 2.073673637957841320e-01
3.789658020389999882e-01 2.226048890230000055e+01 1.993641087662277045e-01
3.804165142859999849e-01 2.195134052989999773e+01 2.008119813880546445e-01
3.017550295349999967e-01 2.217281049589999853e+01 2.485784151473786896e-01
3.483450208350000188e-01 2.198679153120000151e+01 2.198315316453280377e-01
2.605861083170000203e-01 2.120216767770000033e+01 1.447382419925510033e-01
3.575073570319999838e-01 2.200783940450000031e+01 2.047968971881277689e-01
2.605334769529999983e-01 2.148713414130000032e+01 1.512837244962454974e-01
2.866187065219999996e-01 2.171740764680000169e+01 1.371222584518851373e-01
2.634910265920000216e-01 2.144632260850000094e+01 1.307804582163324680e-01
3.388026091340000101e-01 2.198437188009999588e+01 1.735213826419249317e-01
2.884183445849999861e-01 2.152178535869999720e+01 1.525771791962612922e-01
2.636479506419999730e-01 2.122717566849999926e+01 1.430057509761593071e-01
2.577403035090000127e-01 2.133047839570000193e+01 1.391631382273152695e-01
2.778534226189999790e-01 2.151700845150000063e+01 1.716363661173263000e-01
2.754401974349999782e-01 2.142239180199999637e+01 1.460558301935200309e-01
3.305124486830000041e-01 2.190693900180000142e+01 1.595691474682424393e-01
3.619343088320000068e-01 2.206345335170000155e+01 1.691239517736653486e-01
3.306346283300000133e-01 2.173125988909999862e+01 1.556184059417635990e-01
3.892887876880000153e-01 2.228162842889999595e+01 2.030955021731104537e-01
3.003126958019999848e-01 2.152584819280000161e+01 1.544427039337321617e-01
4.083190921639999749e-01 2.251929352600000200e+01 2.085387720410180057e-01
2.506676311100000110e-01 2.142460302639999625e+01 1.246353604772870577e-01
2.517401864239999787e-01 2.122072175989999820e+01 1.221804395898312690e-01
3.915992134410000158e-01 2.218772710219999666e+01 1.741674897577597803e-01
3.996013349759999778e-01 2.240780031270000094e+01 2.073145324751200502e-01
3.094926454110000225e-01 2.169719247320000122e+01 1.382542870610874441e-01
2.789246763279999985e-01 2.144682976549999509e+01 1.335696677784871111e-01
3.085808660709999929e-01 2.158662170530000068e+01 1.801680081524311416e-01
3.164298446950000177e-01 2.207407338060000157e+01 1.951854018900503751e-01
2.574978882969999883e-01 2.127316459349999533e+01 1.347749080493264306e-01
2.987774440879999993e-01 2.170835798179999543e+01 1.574219315441448552e-01
2.704344428270000211e-01 2.134798383600000093e+01 1.485389772918906948e-01
2.794547326099999784e-01 2.118028436650000046e+01 1.419315029183915444e-01
2.924697560819999875e-01 2.159804865399999940e+01 1.445480445612120912e-01
2.657624795180000277e-01 2.117714992169999633e+01 1.283589654022829762e-01
3.128833641579999991e-01 2.169344877709999864e+01 1.426957164633208819e-01
3.095473371579999800e-01 2.187155672380000127e+01 1.569069745276545358e-01
4.024596192159999863e-01 2.259014675779999592e+01 2.133977554342423033e-01
3.263964832030000207e-01 2.165130417600000001e+01 1.474717381568236008e-01
3.024016210800000160e-01 2.171220009800000028e+01 1.382054247689257498e-01
3.204469888609999817e-01 2.178178513499999625e+01 1.376883002630933384e-01
3.796622935749999761e-01 2.211206189319999638e+01 1.502453058624628468e-01
3.666028987889999868e-01 2.253885723510000005e+01 2.006597061381326930e-01
4.209268211030000040e-01 2.281254800489999823e+01 2.045330965185968575e-01
2.580282705620000061e-01 2.132367886669999635e+01 1.403522014015230746e-01
3.600342119889999859e-01 2.183630043589999659e+01 1.776003029427064284e-01
3.939744782719999949e-01 2.246015342229999945e+01 1.536642319723352801e-01
2.524860600289999812e-01 2.119742108009999626e+01 1.481200839306242856e-01
3.872971074650000123e-01 2.257146532919999871e+01 1.888282156024922442e-01
3.485838575440000087e-01 2.197994103590000137e+01 1.798910409301213709e-01
2.554906200220000145e-01 2.116494462609999871e+01 1.539192898712146151e-01
4.299999999999999933e-01 2.199785817149999545e+01 3.590830126491178498e-01
2.999999999999999889e-01 2.164179515220000027e+01 3.162915243497220752e-01
3.800000000000000044e-01 2.274217653399999861e+01 3.292029023438708402e-01
4.299999999999999933e-01 2.307754150690000117e+01 4.593086544626355794e-01
4.400000000000000022e-01 2.272853327359999653e+01 3.211989485907175146e-01
4.789999999999999813e-01 2.303075776249999862e+01 3.593906081531699215e-01
4.159999999999999809e-01 2.310261704070000022e+01 5.571506004575871307e-01
4.500000000000000111e-01 2.251099184949999810e+01 4.546927216147249595e-01
3.200000000000000067e-01 2.192360345159999824e+01 4.220656481898897305e-01
4.299999999999999933e-01 2.244513682949999733e+01 6.090681986096450062e-01
4.719999999999999751e-01 2.264816325640000017e+01 5.153467898652560608e-01
3.739999999999999991e-01 2.386411468039999662e+01 9.236860207901731457e-01
4.299999999999999933e-01 2.248093609729999898e+01 4.597847533890364047e-01
4.500000000000000111e-01 2.294997317679999682e+01 5.907101735426661948e-01
4.949999999999999956e-01 2.279790815379999813e+01 4.446666214151798746e-01
4.899999999999999911e-01 2.246643493830000082e+01 4.474912446637774321e-01
3.880000000000000115e-01 2.288661403659999749e+01 4.659845273095792884e-01
4.500000000000000111e-01 2.308144772540000034e+01 5.091751683958822827e-01
4.799999999999999822e-01 2.283894859260000132e+01 5.222827367184561531e-01
4.000000000000000222e-01 2.299176715860000186e+01 4.785303260476417853e-01
4.979999999999999982e-01 2.366272023710000028e+01 6.431066136589057569e-01
4.650000000000000244e-01 2.250416330170000023e+01 6.007801298453360195e-01
4.530000000000000138e-01 2.350020847649999567e+01 5.257695379305281635e-01
4.249999999999999889e-01 2.188113122279999700e+01 4.900681842168295721e-01
4.229999999999999871e-01 2.224452588160000133e+01 2.454194970788752539e-01
3.396000000000000130e-01 2.176297338379999857e+01 2.285058164452149765e-01
3.965000000000000191e-01 2.216692078969999713e+01 2.045865104138607227e-01
2.600000000000000089e-01 2.150236577089999557e+01 2.020908616702454808e-01
2.690000000000000169e-01 2.145516173149999517e+01 2.581497384050422395e-01
4.299999999999999933e-01 2.286312420530000011e+01 1.511775861560507028e-01
4.969999999999999973e-01 2.300355309029999873e+01 1.706380545844399521e-01
4.400000000000000022e-01 2.268964753309999693e+01 1.115929383025512645e-01
3.549999999999999822e-01 2.202131157549999685e+01 2.036897884197219344e-01
4.680000000000000271e-01 2.322790373709999656e+01 1.666374868414986221e-01
4.510000000000000120e-01 2.247567441450000203e+01 1.461676030376357072e-01
4.149999999999999800e-01 2.255577046430000010e+01 1.442478179080212974e-01
3.310000000000000164e-01 2.175747005010000024e+01 1.409347463751319807e-01
3.459999999999999742e-01 2.204362686149999817e+01 1.551414593035931322e-01
3.402000000000000024e-01 2.200709152779999656e+01 1.388264082025411905e-01
4.699999999999999734e-01 2.281355948579999549e+01 1.561485687904446695e-01
3.689999999999999947e-01 2.231302301539999533e+01 1.555642245056450823e-01
2.849999999999999756e-01 2.153324347279999884e+01 1.398497637676119343e-01
2.912000000000000144e-01 2.151806427749999884e+01 1.496621025249723347e-01
4.959999999999999964e-01 2.289367602879999808e+01 1.557314470067512613e-01
3.578000000000000069e-01 2.211390959339999895e+01 1.393634189924950195e-01
4.299999999999999933e-01 2.248992079729999816e+01 1.540318604385632340e-01
4.606999999999999984e-01 2.275066654629999974e+01 1.837282715595622007e-01
3.709000000000000075e-01 2.234820439830000183e+01 1.577135676723568913e-01
3.372999999999999887e-01 2.197349095209999703e+01 1.404812416708417777e-01
2.630000000000000115e-01 2.131367211859999955e+01 1.378713227491484838e-01
3.569999999999999840e-01 2.210452796409999721e+01 1.409510734206365079e-01
4.627000000000000002e-01 2.272128499620000142e+01 1.505873540891230211e-01
4.490000000000000102e-01 2.270206834960000108e+01 1.599024467670489280e-01
4.259999999999999898e-01 2.244057747959999816e+01 2.269125564299655506e-01
3.290000000000000147e-01 2.201925672820000202e+01 2.714701343723771032e-01
4.010000000000000231e-01 2.237442446540000063e+01 2.312628161415876404e-01
3.400000000000000244e-01 2.189217877279999769e+01 2.301543560138432365e-01
4.359999999999999987e-01 2.255901619970000027e+01 2.186022649921487704e-01
3.629999999999999893e-01 2.223097568599999718e+01 2.103238493888359428e-01
4.359999999999999987e-01 2.260476930020000097e+01 2.302257317709973661e-01
3.089999999999999969e-01 2.185279570909999691e+01 2.377244212708333193e-01
3.420000000000000262e-01 2.206359817679999580e+01 2.168950757079289304e-01
3.320000000000000173e-01 2.193447830130000042e+01 2.417717559281896966e-01
4.689999999999999725e-01 2.303348121120000158e+01 2.847372208124377413e-01
3.519999999999999796e-01 2.210277935199999533e+01 2.261898472193439313e-01
4.289999999999999925e-01 2.256903881229999698e+01 2.175498098700821559e-01
4.969999999999999973e-01 2.275477381539999655e+01 2.236588378759907514e-01
4.099999999999999756e-01 2.202649332829999551e+01 2.587263176016127431e-01
4.119999999999999774e-01 2.210271218840000174e+01 3.134951121544279906e-01
4.219999999999999862e-01 2.240730945759999670e+01 2.326561382611449236e-01
4.010000000000000231e-01 2.323362036019999621e+01 3.711085531049096997e-01
3.830000000000000071e-01 2.232103390379999652e+01 2.527965740563598018e-01
3.019999999999999907e-01 2.198979828479999910e+01 2.739938748332678142e-01
